NODE TIMES:	nid	time
	1	156.081
	2	156.081
	3	156.081
	4	156.081
	5	156.081
	6	156.081
	7	156.081
	8	156.081
	9	156.081
	10	156.081
	11	0
	12	0
	13	127.134
	14	44.2487
	15	40.5769
	16	30.4812
	17	26.5394
	18	17.1377
	19	3.08396
	20	1.36554
	21	0.343732

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 16) 	8 (16 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 13) 	1 (13 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 17) 	10 (17 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 15) 	6 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 13) 	2 (13 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 17) 	9 (17 -> 14) 	3 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 15) 	5 (15 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 17) 	9 (17 -> 14) 	4 (14 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	14	17	14	16	0
	eid	type	time
	13	dup	0.807956	14.4387
	13	crl	0.854312	15.0902
	12	crg	0.291562	19.8789
	12	dup	0.759522	24.2785
	9	crg	0.0483229	27.3952
	9	dup	0.163043	29.4268
	9	crl	0.381945	33.3034
	9	del	0.431927	34.1885
	9	del	0.504097	35.4666
	9	dup	0.521121	35.7681
	9	dup	0.684094	38.6542
	9	del	0.751244	39.8434
	3	del	0.0131877	45.7235
	3	del	0.0256419	47.1163
	3	dup	0.0497127	49.8081
	3	del	0.0626681	51.257
	3	crg	0.074334	52.5616
	3	crg	0.103309	55.8019
	3	crl	0.129088	58.6849
	3	crl	0.134228	59.2597
	3	del	0.14325	60.2686
	3	dup	0.169912	63.2503
	3	crg	0.178355	64.1945
	3	del	0.179157	64.2842
	3	crg	0.191211	65.6322
	3	dup	0.191986	65.7188
	3	crl	0.218551	68.6896
	3	crl	0.233012	70.3069
	3	crg	0.250337	72.2443
	3	crl	0.257922	73.0926
	3	del	0.273669	74.8536
	3	crg	0.280124	75.5754
	3	crl	0.299811	77.7771
	3	dup	0.304749	78.3294
	3	crg	0.316092	79.5978
	3	crl	0.319259	79.952
	3	crg	0.325845	80.6885
	3	dup	0.336068	81.8318
	3	crg	0.351382	83.5444
	3	crl	0.367609	85.3591
	3	crl	0.380851	86.8399
	3	crg	0.392759	88.1717
	3	dup	0.422533	91.5013
	3	del	0.423793	91.6423
	3	del	0.452363	94.8373
	3	dup	0.467152	96.4911
	3	del	0.490534	99.1061
	3	crg	0.5073	100.981
	3	crl	0.528062	103.303
	3	crl	0.532146	103.76
	3	crl	0.546336	105.346
	3	dup	0.554728	106.285
	3	crg	0.573475	108.381
	3	crl	0.602751	111.655
	3	dup	0.618092	113.371
	3	crl	0.642973	116.154
	3	crl	0.669681	119.14
	3	del	0.669728	119.146
	3	crl	0.687953	121.184
	3	del	0.721725	124.961
	3	crg	0.732282	126.141
	3	del	0.75664	128.865
	3	del	0.78161	131.658
	3	crl	0.815099	135.403
	3	dup	0.817291	135.648
	3	dup	0.817429	135.663
	3	crg	0.893495	144.17
	3	crl	0.914084	146.472
	3	crg	0.924035	147.585
	3	dup	0.95075	150.573
	3	crl	0.969936	152.718
	3	crl	0.980597	153.911
	3	del	0.99978	156.056

MUTATIONS   (7)  dup, deln, crl, crg, wgd:	13	19	19	17	0
	eid	type	time
	14	crg	0.051355	5.00941
	14	dup	0.136495	8.20155
	14	dup	0.157721	8.99737
	14	dup	0.15942	9.06109
	14	crl	0.242545	12.1777
	14	crg	0.243249	12.2041
	14	crl	0.274699	13.3833
	14	crl	0.304788	14.5114
	14	del	0.375741	17.1716
	14	crl	0.455549	20.1638
	14	crg	0.525979	22.8044
	14	del	0.596978	25.4664
	14	crl	0.610245	25.9638
	14	crg	0.634503	26.8734
	14	del	0.671906	28.2757
	14	dup	0.725607	30.2891
	14	del	0.793908	32.8499
	14	crg	0.817924	33.7503
	14	crg	0.879294	36.0513
	5	crl	0.00255378	40.8719
	5	del	0.0147619	42.282
	5	dup	0.0149562	42.3044
	5	crg	0.0197374	42.8566
	5	dup	0.0342956	44.5382
	5	crl	0.0358244	44.7148
	5	del	0.0812509	49.9617
	5	crl	0.116047	53.9808
	5	crg	0.14833	57.7095
	5	del	0.201264	63.8236
	5	crg	0.210496	64.8899
	5	del	0.220382	66.0318
	5	crg	0.222521	66.2788
	5	crl	0.225732	66.6497
	5	del	0.284113	73.393
	5	dup	0.291897	74.2921
	5	del	0.347546	80.7198
	5	crl	0.357493	81.8686
	5	del	0.363144	82.5213
	5	crl	0.366653	82.9267
	5	del	0.412036	88.1686
	5	dup	0.412262	88.1947
	5	del	0.43281	90.568
	5	crl	0.467724	94.6007
	5	del	0.471641	95.0532
	5	dup	0.476533	95.6182
	5	crl	0.502546	98.6228
	5	dup	0.543861	103.395
	5	crl	0.564251	105.75
	5	del	0.575533	107.053
	5	crg	0.597592	109.601
	5	crg	0.616873	111.828
	5	crg	0.636775	114.127
	5	crg	0.646546	115.255
	5	crl	0.653233	116.028
	5	del	0.655176	116.252
	5	del	0.65698	116.461
	5	crl	0.695128	120.867
	5	dup	0.698664	121.275
	5	crg	0.741276	126.197
	5	crl	0.788054	131.6
	5	crg	0.815394	134.758
	5	dup	0.843667	138.024
	5	crl	0.84521	138.202
	5	crl	0.875702	141.724
	5	crg	0.931077	148.12
	5	dup	0.952121	150.55
	5	del	0.998558	155.914
	5	del	0.999999	156.08

MUTATIONS   (8)  dup, deln, crl, crg, wgd:	10	18	19	7	0
	eid	type	time
	13	del	0.404699	8.77148
	13	dup	0.486348	9.91894
	13	crg	0.752148	13.6544
	13	dup	0.807956	14.4387
	13	crl	0.854312	15.0902
	11	dup	0.125178	18.808
	7	crl	0.0284306	34.052
	7	crg	0.028445	34.0539
	7	del	0.0310678	34.3833
	7	del	0.0531948	37.1624
	7	dup	0.0685436	39.0902
	7	del	0.102659	43.3751
	7	crg	0.161811	50.8045
	7	crl	0.185755	53.8119
	7	del	0.193974	54.8443
	7	crg	0.196565	55.1697
	7	crl	0.228359	59.1629
	7	crl	0.267742	64.1094
	7	del	0.332433	72.2345
	7	crl	0.343094	73.5736
	7	del	0.347455	74.1213
	7	del	0.384052	78.7179
	7	crl	0.397492	80.4059
	7	crl	0.405701	81.437
	7	crg	0.452279	87.2872
	7	crl	0.457149	87.8988
	7	del	0.471958	89.7588
	7	del	0.485495	91.459
	7	crl	0.496773	92.8755
	7	del	0.509014	94.4131
	7	del	0.530333	97.0907
	7	dup	0.551957	99.8066
	7	del	0.55933	100.733
	7	crl	0.645649	111.574
	7	crl	0.64897	111.991
	7	dup	0.656985	112.998
	7	crg	0.680033	115.893
	7	del	0.685452	116.574
	7	crl	0.688727	116.985
	7	dup	0.743354	123.846
	7	crg	0.749275	124.59
	7	crl	0.800875	131.071
	7	crl	0.825182	134.124
	7	del	0.839744	135.952
	7	crl	0.860236	138.526
	7	dup	0.872611	140.081
	7	dup	0.87815	140.776
	7	crl	0.883413	141.437
	7	del	0.903629	143.976
	7	dup	0.934957	147.911
	7	crl	0.948975	149.672
	7	del	0.958311	150.844
	7	del	0.981185	153.717
	7	crl	0.993341	155.244

MUTATIONS   (9)  dup, deln, crl, crg, wgd:	22	18	18	14	0
	eid	type	time
	18	dup	0.00327082	0.853119
	18	del	0.0125617	2.30005
	18	dup	0.0191528	3.32652
	18	del	0.0236043	4.01979
	18	crg	0.0382865	6.30636
	18	del	0.0463574	7.56329
	18	crl	0.0467597	7.62594
	18	crl	0.0471486	7.68651
	18	crl	0.0625756	10.0891
	18	crg	0.0764761	12.2539
	18	crl	0.0919464	14.6632
	18	crg	0.134029	21.217
	18	dup	0.141945	22.4498
	18	del	0.15305	24.1792
	18	del	0.190994	30.0886
	18	crg	0.20261	31.8976
	18	crl	0.208477	32.8113
	18	crg	0.233388	36.6909
	18	dup	0.241255	37.916
	18	crl	0.24375	38.3045
	18	dup	0.246328	38.706
	18	dup	0.248393	39.0276
	18	dup	0.255229	40.0922
	18	dup	0.256573	40.3016
	18	crl	0.284631	44.6712
	18	del	0.287838	45.1708
	18	dup	0.303686	47.6388
	18	crl	0.335405	52.5786
	18	del	0.340564	53.382
	18	crg	0.43246	67.6937
	18	del	0.433672	67.8825
	18	crg	0.438818	68.6838
	18	dup	0.439947	68.8597
	18	dup	0.467829	73.202
	18	crg	0.539725	84.3987
	18	dup	0.557014	87.0914
	18	crl	0.573519	89.6618
	18	del	0.577501	90.2819
	18	crl	0.581958	90.9761
	18	del	0.585611	91.5449
	18	dup	0.609683	95.2938
	18	dup	0.610454	95.4138
	18	crg	0.614645	96.0666
	18	crl	0.619084	96.7578
	18	dup	0.634805	99.2062
	18	del	0.635967	99.3872
	18	del	0.663918	103.74
	18	crg	0.673258	105.195
	18	dup	0.680251	106.284
	18	crl	0.681461	106.472
	18	del	0.6929	108.254
	18	crl	0.716754	111.969
	18	crl	0.734269	114.696
	18	del	0.749862	117.125
	18	del	0.758584	118.483
	18	crg	0.766496	119.715
	18	dup	0.773314	120.777
	18	del	0.773599	120.822
	18	dup	0.784737	122.556
	18	del	0.797806	124.592
	18	del	0.817557	127.667
	18	dup	0.828946	129.441
	18	crg	0.829264	129.491
	18	dup	0.858925	134.11
	18	dup	0.861083	134.446
	18	crg	0.873534	136.385
	18	crl	0.878667	137.185
	18	crg	0.9193	143.513
	18	dup	0.955044	149.079
	18	crl	0.956983	149.381
	18	crl	0.982513	153.357
	18	crl	0.985155	153.769

MUTATIONS   (10)  dup, deln, crl, crg, wgd:	17	17	12	20	0
	eid	type	time
	13	del	0.404699	8.77148
	13	dup	0.486348	9.91894
	13	crg	0.752148	13.6544
	13	dup	0.807956	14.4387
	13	crl	0.854312	15.0902
	12	crg	0.291562	19.8789
	12	dup	0.759522	24.2785
	9	crg	0.0483229	27.3952
	9	dup	0.163043	29.4268
	9	crl	0.381945	33.3034
	9	del	0.431927	34.1885
	9	del	0.504097	35.4666
	9	dup	0.521121	35.7681
	9	dup	0.684094	38.6542
	9	del	0.751244	39.8434
	4	crg	0.00855156	45.205
	4	del	0.0451531	49.2982
	4	dup	0.0548909	50.3872
	4	crg	0.0683622	51.8938
	4	dup	0.112769	56.8599
	4	dup	0.118005	57.4454
	4	del	0.124017	58.1177
	4	del	0.12603	58.3429
	4	crl	0.133852	59.2176
	4	crg	0.154786	61.5587
	4	crg	0.163983	62.5872
	4	crg	0.167377	62.9668
	4	del	0.17394	63.7007
	4	dup	0.176377	63.9733
	4	crl	0.190043	65.5015
	4	crl	0.217277	68.5472
	4	crl	0.257601	73.0567
	4	crg	0.277385	75.2691
	4	del	0.284761	76.0941
	4	crg	0.308604	78.7604
	4	crg	0.346049	82.948
	4	dup	0.361171	84.6391
	4	del	0.400885	89.0804
	4	crg	0.415199	90.6811
	4	dup	0.509257	101.2
	4	crl	0.522994	102.736
	4	dup	0.529742	103.491
	4	del	0.551443	105.918
	4	del	0.581858	109.319
	4	del	0.591062	110.348
	4	crl	0.641335	115.97
	4	crg	0.648731	116.797
	4	crl	0.672018	119.402
	4	del	0.720896	124.868
	4	dup	0.723461	125.155
	4	crl	0.7401	127.015
	4	crg	0.778714	131.334
	4	del	0.779038	131.37
	4	crg	0.800716	133.794
	4	crg	0.805939	134.378
	4	dup	0.811216	134.969
	4	crg	0.820024	135.953
	4	crg	0.821338	136.1
	4	crl	0.825585	136.575
	4	dup	0.845229	138.772
	4	crg	0.88358	143.061
	4	crl	0.888356	143.595
	4	del	0.900648	144.97
	4	del	0.91791	146.9
	4	dup	0.925956	147.8
	4	crg	0.982058	154.074

MUTATIONS   (11)  dup, deln, crl, crg, wgd:	0	0	0	0	0
	eid	type	time

